class,support_gt,correct_tp,substitutions,deletions,recall,predicted_total,precision
A,98,98,0,0,1.000000,105,0.933333
B,44,42,2,0,0.954545,43,0.976744
C,134,133,1,0,0.992537,133,1.000000
D,107,104,3,0,0.971963,113,0.920354
E,244,237,7,0,0.971311,238,0.995798
F,161,158,3,0,0.981366,162,0.975309
G,248,239,9,0,0.963710,243,0.983539
H,263,259,4,0,0.984791,261,0.992337
I,265,259,6,0,0.977358,262,0.988550
J,210,192,18,0,0.914286,192,1.000000
K,209,201,8,0,0.961722,203,0.990148
L,168,166,2,0,0.988095,170,0.976471
M,159,155,4,0,0.974843,164,0.945122
N,152,149,3,0,0.980263,149,1.000000
O,132,129,3,0,0.977273,130,0.992308
P,104,104,0,0,1.000000,106,0.981132
Q,112,111,1,0,0.991071,112,0.991071
R,77,77,0,0,1.000000,79,0.974684
S,69,69,0,0,1.000000,73,0.945205
T,49,49,0,0,1.000000,50,0.980000
U,46,46,0,0,1.000000,53,0.867925
V,22,21,1,0,0.954545,22,0.954545
W,27,27,0,0,1.000000,27,1.000000
X,10,10,0,0,1.000000,10,1.000000
Y,7,7,0,0,1.000000,10,0.700000
Z,1,1,0,0,1.000000,3,0.333333
