dataset_id,page_idx,gt_tokens,pred_tokens,correct,substitutions,deletions,insertions,accuracy
1,0,2,2,2,0,0,0,1.000000
1,1,4,4,4,0,0,0,1.000000
1,2,4,4,4,0,0,0,1.000000
1,3,4,4,4,0,0,0,1.000000
1,4,9,9,9,0,0,0,1.000000
1,5,2,2,2,0,0,0,1.000000
1,6,4,4,4,0,0,0,1.000000
1,7,3,3,0,3,0,0,0.000000
1,8,3,3,3,0,0,0,1.000000
1,9,6,6,6,0,0,0,1.000000
1,10,6,6,6,0,0,0,1.000000
1,11,4,4,4,0,0,0,1.000000
2,0,2,2,2,0,0,0,1.000000
2,1,4,4,4,0,0,0,1.000000
2,2,4,4,4,0,0,0,1.000000
2,3,4,4,4,0,0,0,1.000000
2,4,9,9,9,0,0,0,1.000000
2,5,2,2,2,0,0,0,1.000000
2,6,4,4,3,1,0,0,0.750000
2,7,3,3,3,0,0,0,1.000000
2,8,3,3,3,0,0,0,1.000000
2,9,6,6,6,0,0,0,1.000000
2,10,6,6,6,0,0,0,1.000000
2,11,4,4,4,0,0,0,1.000000
3,0,2,2,2,0,0,0,1.000000
3,1,4,4,4,0,0,0,1.000000
3,2,4,4,4,0,0,0,1.000000
3,3,4,4,4,0,0,0,1.000000
3,4,9,9,9,0,0,0,1.000000
3,5,2,2,2,0,0,0,1.000000
3,6,4,4,4,0,0,0,1.000000
3,7,3,3,3,0,0,0,1.000000
3,8,3,3,3,0,0,0,1.000000
3,9,6,6,6,0,0,0,1.000000
3,10,6,6,6,0,0,0,1.000000
3,11,4,4,4,0,0,0,1.000000
4,0,2,2,2,0,0,0,1.000000
4,1,4,4,4,0,0,0,1.000000
4,2,4,4,4,0,0,0,1.000000
4,3,4,4,4,0,0,0,1.000000
4,4,9,9,8,1,0,0,0.888889
4,5,2,2,1,1,0,0,0.500000
4,6,4,4,4,0,0,0,1.000000
4,7,3,3,3,0,0,0,1.000000
4,8,3,3,3,0,0,0,1.000000
4,9,6,6,6,0,0,0,1.000000
4,10,6,6,6,0,0,0,1.000000
4,11,4,4,4,0,0,0,1.000000
5,0,2,2,2,0,0,0,1.000000
5,1,4,4,4,0,0,0,1.000000
5,2,4,4,4,0,0,0,1.000000
5,3,4,4,4,0,0,0,1.000000
5,4,9,9,9,0,0,0,1.000000
5,5,2,2,2,0,0,0,1.000000
5,6,4,4,4,0,0,0,1.000000
5,7,3,3,3,0,0,0,1.000000
5,8,3,3,3,0,0,0,1.000000
5,9,6,6,6,0,0,0,1.000000
5,10,6,6,6,0,0,0,1.000000
5,11,4,4,4,0,0,0,1.000000
6,0,2,2,2,0,0,0,1.000000
6,1,4,4,4,0,0,0,1.000000
6,2,4,4,4,0,0,0,1.000000
6,3,4,4,4,0,0,0,1.000000
6,4,9,9,9,0,0,0,1.000000
6,5,2,2,2,0,0,0,1.000000
6,6,4,4,4,0,0,0,1.000000
6,7,3,3,3,0,0,0,1.000000
6,8,3,3,3,0,0,0,1.000000
6,9,6,6,6,0,0,0,1.000000
6,10,6,6,6,0,0,0,1.000000
6,11,4,4,4,0,0,0,1.000000
7,0,2,2,2,0,0,0,1.000000
7,1,4,4,4,0,0,0,1.000000
7,2,4,4,4,0,0,0,1.000000
7,3,4,4,4,0,0,0,1.000000
7,4,9,9,9,0,0,0,1.000000
7,5,2,2,2,0,0,0,1.000000
7,6,4,4,4,0,0,0,1.000000
7,7,3,3,3,0,0,0,1.000000
7,8,3,3,3,0,0,0,1.000000
7,9,6,6,6,0,0,0,1.000000
7,10,6,6,6,0,0,0,1.000000
7,11,4,4,4,0,0,0,1.000000
8,0,2,2,2,0,0,0,1.000000
8,1,4,4,4,0,0,0,1.000000
8,2,4,4,4,0,0,0,1.000000
8,3,4,4,4,0,0,0,1.000000
8,4,9,9,9,0,0,0,1.000000
8,5,2,2,2,0,0,0,1.000000
8,6,4,4,4,0,0,0,1.000000
8,7,3,3,1,2,0,0,0.333333
8,8,3,3,3,0,0,0,1.000000
8,9,6,6,6,0,0,0,1.000000
8,10,6,6,6,0,0,0,1.000000
8,11,4,4,2,2,0,0,0.500000
9,0,2,2,2,0,0,0,1.000000
9,1,4,4,4,0,0,0,1.000000
9,2,4,4,4,0,0,0,1.000000
9,3,4,4,4,0,0,0,1.000000
9,4,9,9,9,0,0,0,1.000000
9,5,2,2,2,0,0,0,1.000000
9,6,4,4,4,0,0,0,1.000000
9,7,3,3,3,0,0,0,1.000000
9,8,3,3,3,0,0,0,1.000000
9,9,6,6,6,0,0,0,1.000000
9,10,6,6,6,0,0,0,1.000000
9,11,4,4,4,0,0,0,1.000000
10,0,2,2,2,0,0,0,1.000000
10,1,4,4,4,0,0,0,1.000000
10,2,4,4,4,0,0,0,1.000000
10,3,4,4,4,0,0,0,1.000000
10,4,9,9,9,0,0,0,1.000000
10,5,2,2,2,0,0,0,1.000000
