model,dataset_id,page_index,tokens_total,tokens_correct,tokens_wrong,extra_pred_tokens,substitutions,deletions,insertions,accuracy,accuracy_percent
LLM Google Gemini-3.5 Flash-plain,1,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,1,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,7,4,3,1,0,1,0,0,0.750000,75.00
LLM Google Gemini-3.5 Flash-plain,2,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,3,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,4,4,4,0,0,0,0,0,1.000000,100.00
